Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2022-04-13,21.42,21.58,-1.0,-14.0,160241.05306883555,151060.0,9181.05306883555,0.8277260273972603,-1119.9999999999761
2022-04-14,21.620001,21.719999,0.0,-14.0,159540.23397298346,152039.99300000002,7500.240972983447,0.8330958520547945,-699.9860000000205
2022-04-19,21.360001,21.219999,-1.0,-14.0,160519.43405521358,148539.99300000002,11979.441055213567,0.8139177698630138,980.0139999999935
2022-04-20,21.16,21.120001,-1.0,-14.0,160798.61697298347,147840.00699999998,12958.609972983482,0.8100822301369862,279.9930000000117
2022-04-21,21.059999,20.879999,-1.0,-14.0,162057.81609630949,146159.99300000002,15897.823096309468,0.8008766739726029,1259.999999999998
2022-04-22,20.620001,20.84,-1.0,-14.0,160517.0237538437,145880.0,14637.023753843707,0.7993424657534246,-1539.9930000000097
2022-04-25,20.459999,20.16,-1.0,-14.0,162616.24349356972,141120.0,21496.243493569724,0.7732602739726028,2099.9929999999977
2022-04-26,20.219999,20.139999,0.0,-14.0,163175.4710004574,140979.99300000002,22195.47800045737,0.7724931123287672,560.000000000013
2022-04-27,19.950001,20.139999,-1.0,-14.0,161844.71250734504,140979.99300000002,20864.719507345028,0.7724931123287672,-1329.9859999999946
2022-04-28,20.219999,20.379999,0.0,-14.0,160723.93080875327,142659.99300000002,18063.937808753253,0.781698591780822,-1120.000000000001
2022-04-29,20.299999,21.219999,0.0,-14.0,154283.1168909834,148539.99300000002,5743.123890983377,0.8139177698630138,-6440.000000000012
2022-05-03,21.040001,21.219999,0.0,-14.0,153022.3169732135,148539.99300000002,4482.323973213497,0.8139177698630138,-1259.9860000000085
2022-05-04,21.219999,20.98,0.0,-14.0,154701.50526088476,146860.0,7841.505260884762,0.8047123287671234,1679.9930000000068
2022-05-05,21.280001,20.879999,1.0,14.0,151900.69038421081,146159.99300000002,5740.697384210798,0.8008766739726029,-2800.0139999999797
